Table,State,Town,Area,Total_Rural_Urban,Educational level,Total_Persons,Male_Persons,Female_Persons,Total_Main_worker,Male_Main_worker,Female_Main_worker,Total_Marg_worker,Male_Marg_worker,Female_Marg_worker,Total_marg_worker_avlbl_for_work,Male_marg_worker_avlbl_for_work,Female_marg_worker_avlbl_for_work,Total_Non_worker,Male_Non_worker,Female_Non_worker,Total_Non_worker_avlbl_for_work,Male_Non_worker_avlbl_for_work,Female_Non_worker_avlbl_for_work
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Total,1206419,631830,574589,317254,277267,39987,73814,41915,31899,41767,24441,17326,815351,312648,502703,163909,63151,100758
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Illiterate,478675,215099,263576,88424,78747,9677,29394,15799,13595,14205,8472,5733,360857,120553,240304,32457,7421,25036
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Literate,727744,416731,311013,228830,198520,30310,44420,26116,18304,27562,15969,11593,454494,192095,262399,131452,55730,75722
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Literate but below matric/secondary,296727,164328,132399,57910,53688,4222,16684,10195,6489,8957,5687,3270,222133,100445,121688,31904,13694,18210
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Matric/secondary but below graduate,237379,142307,95072,85060,78437,6623,14621,8684,5937,9863,5678,4185,137698,55186,82512,53976,23527,30449
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,21744,12699,9045,7541,6494,1047,1565,920,645,1080,623,457,12638,5285,7353,5703,2698,3005
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Graduate and above other than technical degree,108020,60547,47473,49760,38115,11645,6714,3466,3248,4699,2262,2437,51546,18966,32580,28216,11041,17175
B0103,01,800013,Srinagar (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,27763,15278,12485,14251,9350,4901,1623,804,819,1166,560,606,11889,5124,6765,6629,2762,3867
B0103,01,800033,Anantnag (M Cl+OG),Urban,Total,150592,77712,72880,29562,26007,3555,14428,6465,7963,6988,3907,3081,106602,45240,61362,18714,7564,11150
B0103,01,800033,Anantnag (M Cl+OG),Urban,Illiterate,58108,25767,32341,6217,5651,566,6165,2176,3989,2321,1170,1151,45726,17940,27786,3221,838,2383
B0103,01,800033,Anantnag (M Cl+OG),Urban,Literate,92484,51945,40539,23345,20356,2989,8263,4289,3974,4667,2737,1930,60876,27300,33576,15493,6726,8767
B0103,01,800033,Anantnag (M Cl+OG),Urban,Literate but below matric/secondary,48080,26209,21871,7577,7065,512,4089,2094,1995,2069,1237,832,36414,17050,19364,5131,2162,2969
B0103,01,800033,Anantnag (M Cl+OG),Urban,Matric/secondary but below graduate,28910,16765,12145,8949,8129,820,2806,1499,1307,1698,1018,680,17155,7137,10018,6664,2986,3678
B0103,01,800033,Anantnag (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,534,334,200,237,203,34,33,17,16,15,11,4,264,114,150,57,24,33
B0103,01,800033,Anantnag (M Cl+OG),Urban,Graduate and above other than technical degree,9927,5837,4090,4466,3470,996,807,410,397,575,298,277,4654,1957,2697,2600,1119,1481
B0103,01,800033,Anantnag (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,2739,1454,1285,1473,916,557,155,63,92,130,52,78,1111,475,636,703,287,416
B0103,01,800071,Jammu (M Corp.+OG),Urban,Total,576198,303689,272509,176167,144067,32100,23264,14008,9256,11140,6820,4320,376767,145614,231153,55165,22151,33014
B0103,01,800071,Jammu (M Corp.+OG),Urban,Illiterate,111468,49977,61491,13781,10273,3508,4953,2966,1987,2211,1453,758,92734,36738,55996,3235,927,2308
B0103,01,800071,Jammu (M Corp.+OG),Urban,Literate,464730,253712,211018,162386,133794,28592,18311,11042,7269,8929,5367,3562,284033,108876,175157,51930,21224,30706
B0103,01,800071,Jammu (M Corp.+OG),Urban,Literate but below matric/secondary,156285,83818,72467,31982,28851,3131,6510,4483,2027,2790,2051,739,117793,50484,67309,9993,4373,5620
B0103,01,800071,Jammu (M Corp.+OG),Urban,Matric/secondary but below graduate,169325,94022,75303,60871,54481,6390,6351,3854,2497,3333,1994,1339,102103,35687,66416,22362,9675,12687
B0103,01,800071,Jammu (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,5939,4472,1467,3085,2681,404,233,163,70,132,90,42,2621,1628,993,935,546,389
B0103,01,800071,Jammu (M Corp.+OG),Urban,Graduate and above other than technical degree,88616,46540,42076,44824,32546,12278,3171,1489,1682,1576,691,885,40621,12505,28116,11951,3759,8192
B0103,01,800071,Jammu (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,32948,19047,13901,17266,11723,5543,1257,659,598,743,369,374,14425,6665,7760,5690,2532,3158
B0103,02,800137,Shimla (M Corp.),Urban,Total,169578,93152,76426,62899,49631,13268,8100,3861,4239,3238,1809,1429,98579,39660,58919,15665,6545,9120
B0103,02,800137,Shimla (M Corp.),Urban,Illiterate,23516,11657,11859,4484,3133,1351,795,365,430,261,149,112,18237,8159,10078,512,115,397
B0103,02,800137,Shimla (M Corp.),Urban,Literate,146062,81495,64567,58415,46498,11917,7305,3496,3809,2977,1660,1317,80342,31501,48841,15153,6430,8723
B0103,02,800137,Shimla (M Corp.),Urban,Literate but below matric/secondary,45697,25664,20033,12175,10389,1786,2120,1065,1055,568,368,200,31402,14210,17192,2025,843,1182
B0103,02,800137,Shimla (M Corp.),Urban,Matric/secondary but below graduate,52751,29597,23154,20461,17464,2997,2969,1390,1579,1287,730,557,29321,10743,18578,6727,3037,3690
B0103,02,800137,Shimla (M Corp.),Urban,Technical diploma or certificate not equal to degree,2076,1381,695,1167,823,344,89,63,26,49,35,14,820,495,325,290,178,112
B0103,02,800137,Shimla (M Corp.),Urban,Graduate and above other than technical degree,37539,20460,17079,20516,14932,5584,1704,780,924,854,410,444,15319,4748,10571,5045,1890,3155
B0103,02,800137,Shimla (M Corp.),Urban,Technical degree or diploma equal to degree or post-graduate degree,5814,3362,2452,3185,2232,953,247,131,116,145,77,68,2382,999,1383,886,416,470
B0103,03,800144,Pathankot (M Cl+OG),Urban,Total,156306,82045,74261,44097,37577,6520,7020,4999,2021,3318,2501,817,105189,39469,65720,13750,5703,8047
B0103,03,800144,Pathankot (M Cl+OG),Urban,Illiterate,32066,14938,17128,4266,3479,787,1222,803,419,456,336,120,26578,10656,15922,1245,344,901
B0103,03,800144,Pathankot (M Cl+OG),Urban,Literate,124240,67107,57133,39831,34098,5733,5798,4196,1602,2862,2165,697,78611,28813,49798,12505,5359,7146
B0103,03,800144,Pathankot (M Cl+OG),Urban,Literate but below matric/secondary,46499,25491,21008,10001,9035,966,2324,1849,475,1070,926,144,34174,14607,19567,2731,1325,1406
B0103,03,800144,Pathankot (M Cl+OG),Urban,Matric/secondary but below graduate,47537,26264,21273,16486,15018,1468,2260,1672,588,1142,868,274,28791,9574,19217,5762,2610,3152
B0103,03,800144,Pathankot (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,2310,1486,824,973,767,206,88,60,28,64,46,18,1249,659,590,350,229,121
B0103,03,800144,Pathankot (M Cl+OG),Urban,Graduate and above other than technical degree,18255,9171,9084,8535,6650,1885,682,358,324,332,180,152,9038,2163,6875,2283,665,1618
B0103,03,800144,Pathankot (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,5783,2803,2980,2623,1627,996,207,102,105,138,70,68,2953,1074,1879,1035,397,638
B0103,03,800149,Batala (M Cl+OG),Urban,Total,158621,83655,74966,45647,38977,6670,7378,4841,2537,3378,2242,1136,105596,39837,65759,12547,5611,6936
B0103,03,800149,Batala (M Cl+OG),Urban,Illiterate,37686,17808,19878,6493,5324,1169,1463,909,554,586,372,214,29730,11575,18155,1524,499,1025
B0103,03,800149,Batala (M Cl+OG),Urban,Literate,120935,65847,55088,39154,33653,5501,5915,3932,1983,2792,1870,922,75866,28262,47604,11023,5112,5911
B0103,03,800149,Batala (M Cl+OG),Urban,Literate but below matric/secondary,51459,28510,22949,11688,10602,1086,2378,1628,750,1101,778,323,37393,16280,21113,3231,1636,1595
B0103,03,800149,Batala (M Cl+OG),Urban,Matric/secondary but below graduate,47346,26135,21211,17402,15639,1763,2494,1740,754,1194,831,363,27450,8756,18694,5322,2535,2787
B0103,03,800149,Batala (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,2258,1261,997,896,624,272,147,83,64,71,45,26,1215,554,661,340,187,153
B0103,03,800149,Batala (M Cl+OG),Urban,Graduate and above other than technical degree,12938,6467,6471,6236,4757,1479,513,275,238,236,117,119,6189,1435,4754,1332,397,935
B0103,03,800149,Batala (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,3498,1653,1845,1680,964,716,188,88,100,96,41,55,1630,601,1029,483,212,271
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Total,868929,460811,408118,289247,240320,48927,30678,18865,11813,10578,6903,3675,549004,201626,347378,39812,16984,22828
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Illiterate,197552,94418,103134,39735,30738,8997,5097,2757,2340,1713,1027,686,152720,60923,91797,4044,1257,2787
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Literate,671377,366393,304984,249512,209582,39930,25581,16108,9473,8865,5876,2989,396284,140703,255581,35768,15727,20041
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Literate but below matric/secondary,269006,150923,118083,74521,65749,8772,9875,6491,3384,3346,2399,947,184610,78683,105927,9960,4847,5113
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Matric/secondary but below graduate,241111,134011,107100,96961,86016,10945,9305,6082,3223,3456,2334,1122,134845,41913,92932,16080,7376,8704
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,8903,5325,3578,4012,3029,983,353,230,123,139,97,42,4538,2066,2472,761,404,357
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Graduate and above other than technical degree,106518,52697,53821,53103,40147,12956,3813,2053,1760,1241,647,594,49602,10497,39105,5982,1784,4198
B0103,03,800166,Jalandhar (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,22406,10960,11446,11213,6654,4559,914,441,473,329,160,169,10279,3865,6414,1953,870,1083
B0103,03,800176,Hoshiarpur (M Cl),Urban,Total,168653,88304,80349,52477,42768,9709,8405,5403,3002,3540,2195,1345,107771,40133,67638,9587,3931,5656
B0103,03,800176,Hoshiarpur (M Cl),Urban,Illiterate,35286,16753,18533,5987,4460,1527,1478,875,603,531,315,216,27821,11418,16403,780,232,548
B0103,03,800176,Hoshiarpur (M Cl),Urban,Literate,133367,71551,61816,46490,38308,8182,6927,4528,2399,3009,1880,1129,79950,28715,51235,8807,3699,5108
B0103,03,800176,Hoshiarpur (M Cl),Urban,Literate but below matric/secondary,51296,27989,23307,12466,10963,1503,2784,2005,779,1083,783,300,36046,15021,21025,2198,981,1217
B0103,03,800176,Hoshiarpur (M Cl),Urban,Matric/secondary but below graduate,48170,26147,22023,17995,15779,2216,2548,1688,860,1178,739,439,27627,8680,18947,3811,1684,2127
B0103,03,800176,Hoshiarpur (M Cl),Urban,Technical diploma or certificate not equal to degree,3909,2607,1302,1687,1340,347,196,129,67,113,74,39,2026,1138,888,370,254,116
B0103,03,800176,Hoshiarpur (M Cl),Urban,Graduate and above other than technical degree,20770,10120,10650,10076,7368,2708,886,427,459,406,162,244,9808,2325,7483,1669,452,1217
B0103,03,800176,Hoshiarpur (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,5859,2949,2910,3025,1831,1194,253,119,134,133,63,70,2581,999,1582,602,269,333
B0103,03,800191,Khanna (M Cl),Urban,Total,128137,67801,60336,41734,35153,6581,3397,2142,1255,1290,844,446,83006,30506,52500,6754,2942,3812
B0103,03,800191,Khanna (M Cl),Urban,Illiterate,32752,15638,17114,6824,5247,1577,680,409,271,265,174,91,25248,9982,15266,789,257,532
B0103,03,800191,Khanna (M Cl),Urban,Literate,95385,52163,43222,34910,29906,5004,2717,1733,984,1025,670,355,57758,20524,37234,5965,2685,3280
B0103,03,800191,Khanna (M Cl),Urban,Literate but below matric/secondary,40478,22409,18069,10810,9733,1077,1061,746,315,423,311,112,28607,11930,16677,1789,903,886
B0103,03,800191,Khanna (M Cl),Urban,Matric/secondary but below graduate,34281,19400,14881,13951,12675,1276,1009,649,360,361,243,118,19321,6076,13245,2526,1237,1289
B0103,03,800191,Khanna (M Cl),Urban,Technical diploma or certificate not equal to degree,1435,810,625,604,435,169,48,25,23,24,13,11,783,350,433,134,83,51
B0103,03,800191,Khanna (M Cl),Urban,Graduate and above other than technical degree,13703,6848,6855,7017,5366,1651,393,191,202,135,55,80,6293,1291,5002,1053,276,777
B0103,03,800191,Khanna (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,3064,1431,1633,1561,902,659,100,41,59,45,21,24,1403,488,915,363,137,226
B0103,03,800196,Ludhiana (M Corp.),Urban,Total,1618879,874908,743971,538528,469383,69145,53172,31667,21505,17725,11106,6619,1027179,373858,653321,60007,27337,32670
B0103,03,800196,Ludhiana (M Corp.),Urban,Illiterate,388334,185201,203133,71524,57455,14069,10136,4882,5254,3364,1701,1663,306674,122864,183810,7309,2302,5007
B0103,03,800196,Ludhiana (M Corp.),Urban,Literate,1230545,689707,540838,467004,411928,55076,43036,26785,16251,14361,9405,4956,720505,250994,469511,52698,25035,27663
B0103,03,800196,Ludhiana (M Corp.),Urban,Literate but below matric/secondary,511227,289979,221248,142955,130450,12505,18013,11325,6688,5811,3966,1845,350259,148204,202055,15671,7852,7819
B0103,03,800196,Ludhiana (M Corp.),Urban,Matric/secondary but below graduate,455262,265010,190252,199080,182383,16697,16048,10415,5633,5557,3743,1814,240134,72212,167922,24181,12357,11824
B0103,03,800196,Ludhiana (M Corp.),Urban,Technical diploma or certificate not equal to degree,12698,8602,4096,5969,4908,1061,480,340,140,169,113,56,6249,3354,2895,883,647,236
B0103,03,800196,Ludhiana (M Corp.),Urban,Graduate and above other than technical degree,180776,89270,91506,87680,70810,16870,5254,2754,2500,1582,827,755,87842,15706,72136,8212,2513,5699
B0103,03,800196,Ludhiana (M Corp.),Urban,Technical degree or diploma equal to degree or post-graduate degree,30491,14834,15657,15032,9441,5591,1006,481,525,383,184,199,14453,4912,9541,2000,951,1049
B0103,03,800202,Moga (M Cl+OG),Urban,Total,163397,86604,76793,54363,44718,9645,7976,4370,3606,3919,2248,1671,101058,37516,63542,11029,4198,6831
B0103,03,800202,Moga (M Cl+OG),Urban,Illiterate,46475,22305,24170,10817,8267,2550,2269,1149,1120,1058,604,454,33389,12889,20500,1871,453,1418
B0103,03,800202,Moga (M Cl+OG),Urban,Literate,116922,64299,52623,43546,36451,7095,5707,3221,2486,2861,1644,1217,67669,24627,43042,9158,3745,5413
B0103,03,800202,Moga (M Cl+OG),Urban,Literate but below matric/secondary,52524,29684,22840,15075,13419,1656,2574,1550,1024,1355,854,501,34875,14715,20160,3052,1288,1764
B0103,03,800202,Moga (M Cl+OG),Urban,Matric/secondary but below graduate,40094,22664,17430,16903,15029,1874,1965,1122,843,983,575,408,21226,6513,14713,3933,1656,2277
B0103,03,800202,Moga (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,2367,1342,1025,944,628,316,101,63,38,48,28,20,1322,651,671,287,185,102
B0103,03,800202,Moga (M Cl+OG),Urban,Graduate and above other than technical degree,13322,6247,7075,6662,4700,1962,570,243,327,239,80,159,6090,1304,4786,1125,299,826
B0103,03,800202,Moga (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,4440,2109,2331,2268,1276,992,212,95,117,106,44,62,1960,738,1222,467,200,267
B0103,03,800207,Firozpur (M Cl),Urban,Total,110313,58451,51862,34045,28488,5557,3288,2246,1042,1990,1504,486,72980,27717,45263,7121,3534,3587
B0103,03,800207,Firozpur (M Cl),Urban,Illiterate,32273,15610,16663,6668,5480,1188,1302,891,411,832,647,185,24303,9239,15064,1220,474,746
B0103,03,800207,Firozpur (M Cl),Urban,Literate,78040,42841,35199,27377,23008,4369,1986,1355,631,1158,857,301,48677,18478,30199,5901,3060,2841
B0103,03,800207,Firozpur (M Cl),Urban,Literate but below matric/secondary,30819,17099,13720,7246,6696,550,844,659,185,499,430,69,22729,9744,12985,1286,713,573
B0103,03,800207,Firozpur (M Cl),Urban,Matric/secondary but below graduate,28633,16317,12316,10960,9927,1033,675,471,204,385,291,94,16998,5919,11079,2669,1477,1192
B0103,03,800207,Firozpur (M Cl),Urban,Technical diploma or certificate not equal to degree,1780,1104,676,679,514,165,55,32,23,38,26,12,1046,558,488,266,191,75
B0103,03,800207,Firozpur (M Cl),Urban,Graduate and above other than technical degree,11571,5916,5655,6198,4475,1723,259,117,142,144,62,82,5114,1324,3790,1106,392,714
B0103,03,800207,Firozpur (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,3368,1539,1829,1665,877,788,99,43,56,67,33,34,1604,619,985,460,223,237
B0103,03,800214,Abohar (M Cl),Urban,Total,145302,76984,68318,46512,40176,6336,2566,1599,967,1299,928,371,96224,35209,61015,5658,2440,3218
B0103,03,800214,Abohar (M Cl),Urban,Illiterate,43659,19709,23950,9387,7313,2074,1000,531,469,481,324,157,33272,11865,21407,924,279,645
B0103,03,800214,Abohar (M Cl),Urban,Literate,101643,57275,44368,37125,32863,4262,1566,1068,498,818,604,214,62952,23344,39608,4734,2161,2573
B0103,03,800214,Abohar (M Cl),Urban,Literate but below matric/secondary,48687,27209,21478,13328,12295,1033,846,621,225,440,361,79,34513,14293,20220,1375,666,709
B0103,03,800214,Abohar (M Cl),Urban,Matric/secondary but below graduate,33435,19703,13732,13912,13012,900,436,301,135,218,157,61,19087,6390,12697,1766,887,879
B0103,03,800214,Abohar (M Cl),Urban,Technical diploma or certificate not equal to degree,1303,725,578,523,369,154,19,13,6,11,7,4,761,343,418,166,80,86
B0103,03,800214,Abohar (M Cl),Urban,Graduate and above other than technical degree,12819,6840,5979,6841,5440,1401,142,63,79,87,41,46,5836,1337,4499,950,324,626
B0103,03,800214,Abohar (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,3468,1772,1696,1747,1091,656,50,15,35,26,9,17,1671,666,1005,405,172,233
B0103,03,800217,Muktsar (M Cl),Urban,Total,116747,61725,55022,36084,31081,5003,4213,2707,1506,2253,1593,660,76450,27937,48513,5940,2220,3720
B0103,03,800217,Muktsar (M Cl),Urban,Illiterate,38141,17636,20505,7831,6454,1377,1766,989,777,938,616,322,28544,10193,18351,1042,235,807
B0103,03,800217,Muktsar (M Cl),Urban,Literate,78606,44089,34517,28253,24627,3626,2447,1718,729,1315,977,338,47906,17744,30162,4898,1985,2913
B0103,03,800217,Muktsar (M Cl),Urban,Literate but below matric/secondary,37414,21292,16122,10086,9337,749,1303,989,314,677,553,124,26025,10966,15059,1229,514,715
B0103,03,800217,Muktsar (M Cl),Urban,Matric/secondary but below graduate,26466,15239,11227,10900,10057,843,732,506,226,408,299,109,14834,4676,10158,1965,872,1093
B0103,03,800217,Muktsar (M Cl),Urban,Technical diploma or certificate not equal to degree,1296,720,576,535,362,173,36,23,13,24,16,8,725,335,390,146,85,61
B0103,03,800217,Muktsar (M Cl),Urban,Graduate and above other than technical degree,8709,4386,4323,4570,3366,1204,178,87,91,93,38,55,3961,933,3028,951,264,687
B0103,03,800217,Muktsar (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,3076,1545,1531,1492,907,585,83,33,50,47,21,26,1501,605,896,486,213,273
B0103,03,800226,Bathinda (M Corp.),Urban,Total,285788,151524,134264,90673,75127,15546,10903,6372,4531,4779,3173,1606,184212,70025,114187,18300,7613,10687
B0103,03,800226,Bathinda (M Corp.),Urban,Illiterate,78591,35234,43357,15589,11666,3923,2871,1420,1451,1357,831,526,60131,22148,37983,2462,592,1870
B0103,03,800226,Bathinda (M Corp.),Urban,Literate,207197,116290,90907,75084,63461,11623,8032,4952,3080,3422,2342,1080,124081,47877,76204,15838,7021,8817
B0103,03,800226,Bathinda (M Corp.),Urban,Literate but below matric/secondary,81700,45784,35916,20241,18362,1879,3031,2005,1026,1314,1003,311,58428,25417,33011,3921,1789,2132
B0103,03,800226,Bathinda (M Corp.),Urban,Matric/secondary but below graduate,69304,40300,29004,27360,24809,2551,2665,1724,941,1210,862,348,39279,13767,25512,6377,3020,3357
B0103,03,800226,Bathinda (M Corp.),Urban,Technical diploma or certificate not equal to degree,5244,3738,1506,2399,1956,443,184,132,52,84,64,20,2661,1650,1011,615,433,182
B0103,03,800226,Bathinda (M Corp.),Urban,Graduate and above other than technical degree,32430,16864,15566,16797,12645,4152,1244,589,655,455,210,245,14389,3630,10759,2963,891,2072
B0103,03,800226,Bathinda (M Corp.),Urban,Technical degree or diploma equal to degree or post-graduate degree,10998,5607,5391,5347,3301,2046,431,212,219,200,93,107,5220,2094,3126,1518,692,826
B0103,03,800242,Patiala (M Corp.+OG),Urban,Total,446246,236198,210048,146213,117889,28324,16378,10107,6271,6314,3965,2349,283655,108202,175453,27817,11793,16024
B0103,03,800242,Patiala (M Corp.+OG),Urban,Illiterate,100254,46962,53292,19663,14791,4872,3052,1831,1221,1040,645,395,77539,30340,47199,2635,735,1900
B0103,03,800242,Patiala (M Corp.+OG),Urban,Literate,345992,189236,156756,126550,103098,23452,13326,8276,5050,5274,3320,1954,206116,77862,128254,25182,11058,14124
B0103,03,800242,Patiala (M Corp.+OG),Urban,Literate but below matric/secondary,121551,66649,54902,29456,25904,3552,4652,3116,1536,1736,1263,473,87443,37629,49814,5098,2383,2715
B0103,03,800242,Patiala (M Corp.+OG),Urban,Matric/secondary but below graduate,118348,67705,50643,46340,41311,5029,4767,3069,1698,2026,1312,714,67241,23325,43916,9575,4517,5058
B0103,03,800242,Patiala (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,8294,5857,2437,4030,3423,607,265,183,82,115,83,32,3999,2251,1748,715,484,231
B0103,03,800242,Patiala (M Corp.+OG),Urban,Graduate and above other than technical degree,67077,33415,33662,33182,23558,9624,2355,1225,1130,903,398,505,31540,8632,22908,6365,2062,4303
B0103,03,800242,Patiala (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,19620,9974,9646,9036,5373,3663,743,353,390,314,150,164,9841,4248,5593,2756,1328,1428
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Total,1159227,615417,543810,378106,317981,60125,50258,29718,20540,19744,12434,7310,730863,267718,463145,67033,29215,37818
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Illiterate,287922,139636,148286,62986,48796,14190,10757,5890,4867,4124,2471,1653,214179,84950,129229,9079,2836,6243
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Literate,871305,475781,395524,315120,269185,45935,39501,23828,15673,15620,9963,5657,516684,182768,333916,57954,26379,31575
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Literate but below matric/secondary,348202,192454,155748,89828,79538,10290,15639,9724,5915,5455,3741,1714,242735,103192,139543,16320,7927,8393
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Matric/secondary but below graduate,341450,191639,149811,140463,126034,14429,15636,9662,5974,6678,4354,2324,185351,55943,129408,27821,13156,14665
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Technical diploma or certificate not equal to degree,12068,7103,4965,5051,3736,1315,601,374,227,323,200,123,6416,2993,3423,1324,812,512
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Graduate and above other than technical degree,115658,56841,58817,56560,43399,13161,4498,2229,2269,1886,888,998,54600,11213,43387,7984,2415,5569
B0103,03,800252,Amritsar (M Corp.+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,24701,12400,12301,12266,7360,4906,1109,585,524,511,280,231,11326,4455,6871,2632,1287,1345
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Total,166864,87380,79484,58429,43080,15349,4548,2467,2081,1633,834,799,103887,41833,62054,8622,3680,4942
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Illiterate,27189,13065,14124,4228,2970,1258,388,185,203,163,69,94,22573,9910,12663,406,141,265
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Literate,139675,74315,65360,54201,40110,14091,4160,2282,1878,1470,765,705,81314,31923,49391,8216,3539,4677
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Literate but below matric/secondary,33529,17537,15992,5598,4701,897,784,434,350,268,161,107,27147,12402,14745,1087,558,529
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Matric/secondary but below graduate,40260,21723,18537,14039,11804,2235,1211,721,490,508,291,217,25010,9198,15812,2907,1435,1472
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Technical diploma or certificate not equal to degree,4599,2982,1617,2412,1869,543,132,89,43,44,29,15,2055,1024,1031,325,191,134
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Graduate and above other than technical degree,42907,22001,20906,22476,15392,7084,1360,658,702,409,158,251,19071,5951,13120,2566,772,1794
B0103,03,800266,S.A.S. Nagar (M Cl+OG),Urban,Technical degree or diploma equal to degree or post-graduate degree,14416,8109,6307,7950,5170,2780,508,286,222,193,97,96,5958,2653,3305,1117,504,613
B0103,03,800270,Malerkotla (M Cl),Urban,Total,135424,71376,64048,41770,37858,3912,2960,1922,1038,1350,1007,343,90694,31596,59098,4569,2264,2305
B0103,03,800270,Malerkotla (M Cl),Urban,Illiterate,53487,25285,28202,13352,11999,1353,1214,742,472,551,402,149,38921,12544,26377,1140,454,686
B0103,03,800270,Malerkotla (M Cl),Urban,Literate,81937,46091,35846,28418,25859,2559,1746,1180,566,799,605,194,51773,19052,32721,3429,1810,1619
B0103,03,800270,Malerkotla (M Cl),Urban,Literate but below matric/secondary,44678,25321,19357,12253,11615,638,1028,730,298,482,376,106,31397,12976,18421,1446,807,639
B0103,03,800270,Malerkotla (M Cl),Urban,Matric/secondary but below graduate,24868,14014,10854,10138,9525,613,507,341,166,224,175,49,14223,4148,10075,1258,691,567
B0103,03,800270,Malerkotla (M Cl),Urban,Technical diploma or certificate not equal to degree,631,388,243,264,195,69,12,8,4,4,3,1,355,185,170,42,28,14
B0103,03,800270,Malerkotla (M Cl),Urban,Graduate and above other than technical degree,8051,4365,3686,4210,3404,806,109,56,53,43,25,18,3732,905,2827,485,195,290
B0103,03,800270,Malerkotla (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,1716,862,854,851,495,356,26,11,15,13,7,6,839,356,483,130,59,71
B0103,03,800281,Barnala (M Cl),Urban,Total,116449,62554,53895,37806,32897,4909,2963,2025,938,1443,975,468,75680,27632,48048,4908,2022,2886
B0103,03,800281,Barnala (M Cl),Urban,Illiterate,35560,17300,18260,7966,6732,1234,1029,671,358,513,337,176,26565,9897,16668,897,265,632
B0103,03,800281,Barnala (M Cl),Urban,Literate,80889,45254,35635,29840,26165,3675,1934,1354,580,930,638,292,49115,17735,31380,4011,1757,2254
B0103,03,800281,Barnala (M Cl),Urban,Literate but below matric/secondary,36268,20347,15921,9453,8782,671,1034,721,313,514,356,158,25781,10844,14937,1191,561,630
B0103,03,800281,Barnala (M Cl),Urban,Matric/secondary but below graduate,28005,16432,11573,12116,11236,880,604,445,159,291,209,82,15285,4751,10534,1576,748,828
B0103,03,800281,Barnala (M Cl),Urban,Technical diploma or certificate not equal to degree,1529,1000,529,759,596,163,28,23,5,13,11,2,742,381,361,127,76,51
B0103,03,800281,Barnala (M Cl),Urban,Graduate and above other than technical degree,9527,4726,4801,4894,3731,1163,144,93,51,60,32,28,4489,902,3587,672,190,482
B0103,03,800281,Barnala (M Cl),Urban,Technical degree or diploma equal to degree or post-graduate degree,3138,1487,1651,1601,939,662,55,27,28,24,10,14,1482,521,961,350,141,209
