"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Armenia","ARM",156135584,0.976742240664774,1,41,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",131706321,1.20583671775583,1,42,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,3,2,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,2,2,,1,0,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",142429555,0.535039483343561,1,45,2,4,1,2,1,1,0,2,2,2,,,2,1,2,,,,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,3,2,,0,0,4,4,4,4,2,5,1,1,0,0
"Armenia","ARM",133527556,0.396877296881055,1,44,3,3,1,1,1,1,0,1,2,2,,,2,2,2,,,,1,3,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,2,,4,2,2,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,1,2,2,,,,,2,,,,,,1,2,3,3,2,1,,0,1,1,4,4,4,2,5,1,1,1,0
"Armenia","ARM",172358591,0.359451666148499,1,58,3,3,2,2,1,1,0,1,2,1,1,1,2,1,1,1,1,1,1,2,3,,1,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,2,,2,2,3,2,,2,1,1,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,5,2,2,3,2,1,,0,1,4,4,4,4,3,5,1,1,1,1
"Armenia","ARM",147348231,1.13708593799317,1,,2,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",209848179,0.242363197758024,1,72,3,4,2,2,1,1,0,,,1,1,2,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,3,3,4,,3,,0,0,4,4,4,4,4,5,1,2,1,0
"Armenia","ARM",131355636,0.963031284921797,1,34,3,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,1,3,2,,1,0,4,4,4,4,1,5,1,1,0,0
"Armenia","ARM",119925958,0.242363197758024,1,71,3,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,1,2,1,,3,2,2,2,,,,2,,,,1,2,2,,,1,1,1,2,2,1,,,2,1,2,2,2,1,2,,,,,,2,3,3,4,,2,,0,1,2,4,1,4,2,5,1,2,1,0
"Armenia","ARM",178228991,0.647076002986325,2,75,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,3,2,2,2,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,1,2,2,1,,2,,,,,,1,1,1,3,3,1,,0,0,4,2,2,4,2,5,1,2,0,0
"Armenia","ARM",191941698,0.242363197758024,1,60,2,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,2,2,,0,0,2,4,4,4,2,5,1,2,0,0
"Armenia","ARM",190861482,0.904377538316876,1,37,2,1,1,1,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,1,2,2,2,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,2,4,1,,0,1,4,4,4,4,1,4,1,1,1,0
"Armenia","ARM",186673412,0.620250231509925,1,44,3,4,1,1,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,2,3,2,,,,2,,,,1,1,2,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,4,1,3,,0,0,4,4,4,4,1,5,1,1,1,0
"Armenia","ARM",178416371,0.51846658753734,1,27,2,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,1,3,2,2,2,,1,1,4,4,4,2,2,5,1,1,0,0
"Armenia","ARM",185581629,0.242363197758024,1,73,3,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,2,2,2,2,2,,,,,,3,3,3,4,,3,,0,0,4,4,3,4,2,5,1,1,0,0
